date,value
4/7/15,1083
1/6/15,851
15/6/15,692
15/7/15,653
15/8/15,591
30/6/15,518
1/1/15,515
15/10/15,489
1/7/15,429
1/10/15,416
15/9/15,412
1/9/15,410
1/8/15,383
31/12/15,352
16/11/15,349
31/10/15,339
15/11/15,322
15/5/15,307
1/11/15,306
3/7/15,302
20/8/15,296
7/7/15,292
15/3/15,291
1/5/15,283
19/9/15,280
12/8/15,279
15/4/15,274
10/8/15,272
20/6/15,263
20/10/15,251
20/7/15,250
5/7/15,247
15/1/15,245
1/12/15,244
10/7/15,243
13/7/15,236
10/10/15,233
20/9/15,232
22/9/15,231
10/9/15,229
6/7/15,227
25/8/15,226
8/11/15,224
13/3/15,223
30/9/15,223
1/4/15,220
17/11/15,219
28/11/15,219
13/8/15,218
1/3/15,217
24/12/15,217
11/8/15,217
8/8/15,216
11/9/15,213
31/8/15,213
21/9/15,213
7/8/15,213
10/6/15,211
13/10/15,210
21/8/15,210
25/7/15,209
28/9/15,209
18/11/15,209
14/9/15,207
15/2/15,207
19/8/15,206
2/9/15,204
10/11/15,203
15/12/15,203
17/8/15,202
4/8/15,202
19/11/15,201
12/9/15,200
24/8/15,200
14/7/15,200
18/8/15,199
14/8/15,199
12/10/15,198
18/7/15,198
3/11/15,197
23/6/15,196
23/9/15,196
3/8/15,195
6/8/15,195
17/7/15,194
27/7/15,194
30/8/15,194
14/11/15,194
9/9/15,193
12/7/15,193
20/11/15,192
14/10/15,192
6/6/15,192
23/10/15,191
25/6/15,190
25/9/15,188
30/10/15,188
28/10/15,188
17/9/15,187
5/5/15,187
5/11/15,186
28/8/15,186
24/10/15,186
22/8/15,186
22/10/15,186
30/7/15,186
5/8/15,185
19/6/15,185
10/12/15,184
25/12/15,184
22/6/15,184
21/7/15,184
16/8/15,183
2/11/15,182
31/7/15,182
20/4/15,182
5/9/15,182
9/7/15,181
1/2/15,180
24/6/15,180
5/10/15,178
13/12/15,177
9/10/15,177
11/7/15,177
12/11/15,176
4/9/15,176
14/6/15,176
13/11/15,176
13/9/15,176
29/10/15,176
18/9/15,176
6/10/15,175
19/10/15,174
10/3/15,174
23/8/15,174
10/1/15,174
20/5/15,173
23/7/15,173
3/9/15,173
8/9/15,173
7/11/15,172
28/7/15,171
22/11/15,171
25/10/15,171
17/10/15,171
7/9/15,170
27/8/15,170
2/8/15,170
9/11/15,169
21/10/15,169
29/9/15,169
16/4/15,168
8/10/15,168
3/10/15,168
16/10/15,167
26/10/15,167
21/6/15,166
26/9/15,166
11/11/15,165
14/2/15,165
20/2/15,164
23/11/15,164
18/10/15,163
18/6/15,163
28/6/15,163
22/7/15,163
6/11/15,163
16/7/15,162
24/11/15,161
11/10/15,161
14/4/15,161
29/4/15,161
5/6/15,160
24/4/15,159
7/3/15,159
2/7/15,159
4/10/15,158
2/2/15,158
20/3/15,157
14/3/15,157
5/4/15,157
22/4/15,156
26/7/15,155
20/1/15,155
6/9/15,155
12/12/15,154
12/3/15,154
9/3/15,154
17/4/15,154
26/8/15,154
18/1/15,153
7/6/15,153
8/7/15,153
4/1/15,153
8/1/15,152
3/12/15,151
16/2/15,151
26/5/15,150
8/6/15,150
29/6/15,150
29/7/15,150
27/9/15,150
10/4/15,149
24/7/15,149
5/12/15,149
12/5/15,149
9/6/15,148
23/12/15,148
29/8/15,148
3/5/15,147
2/10/15,147
4/11/15,147
9/4/15,147
30/3/15,147
17/6/15,147
26/6/15,146
16/9/15,146
22/2/15,145
19/7/15,144
6/2/15,144
24/1/15,143
27/4/15,143
9/8/15,143
24/9/15,143
16/6/15,143
21/4/15,143
27/11/15,143
12/6/15,142
5/1/15,142
8/2/15,142
3/1/15,142
6/12/15,142
12/1/15,141
25/1/15,141
25/11/15,140
23/2/15,140
23/4/15,140
11/1/15,140
10/5/15,140
12/4/15,140
25/4/15,139
6/1/15,139
19/3/15,138
7/1/15,138
27/6/15,137
26/4/15,137
28/4/15,136
27/2/15,136
2/1/15,136
27/10/15,136
30/11/15,135
28/12/15,135
16/3/15,135
29/12/15,135
7/10/15,135
4/2/15,135
19/5/15,135
13/6/15,135
16/12/15,135
29/3/15,134
2/12/15,134
19/4/15,134
20/12/15,134
5/3/15,133
11/4/15,133
17/1/15,133
14/1/15,133
2/3/15,132
31/3/15,132
21/11/15,132
8/3/15,132
26/11/15,131
28/2/15,131
6/5/15,131
31/1/15,130
28/5/15,130
9/2/15,130
13/1/15,130
30/5/15,129
18/4/15,129
3/3/15,129
24/2/15,129
18/3/15,129
11/5/15,129
17/3/15,129
8/4/15,129
18/5/15,129
9/12/15,128
17/2/15,128
21/3/15,128
11/6/15,127
2/6/15,127
4/5/15,127
3/6/15,127
28/1/15,126
18/12/15,126
7/4/15,126
13/2/15,126
25/5/15,126
21/2/15,125
10/2/15,125
16/1/15,125
13/4/15,125
11/3/15,124
4/4/15,124
25/3/15,124
14/12/15,124
30/4/15,124
6/3/15,123
8/5/15,123
2/4/15,122
29/1/15,122
7/12/15,122
23/3/15,122
19/2/15,121
17/12/15,121
6/4/15,121
11/12/15,121
24/3/15,121
29/5/15,121
21/5/15,121
22/3/15,119
22/5/15,119
8/12/15,118
9/1/15,118
23/1/15,118
29/11/15,117
27/12/15,117
11/2/15,117
25/2/15,116
5/2/15,116
4/12/15,116
12/2/15,115
28/3/15,115
19/1/15,115
13/5/15,114
18/2/15,114
21/12/15,114
7/5/15,114
3/4/15,113
27/5/15,113
26/2/15,113
23/5/15,113
26/3/15,112
14/5/15,112
27/3/15,111
26/12/15,110
4/6/15,110
22/12/15,110
16/5/15,109
31/5/15,108
21/1/15,107
26/1/15,107
17/5/15,106
27/1/15,105
24/5/15,105
22/1/15,105
19/12/15,103
7/2/15,103
30/12/15,102
4/3/15,102
3/2/15,102
2/5/15,100
30/1/15,99
9/5/15,95
29/2/15,25
